map_name,map_type,map_count
Busan,control,5
Circuit royal,payload,8
Colosseo,push,6
Dorado,payload,10
Eichenwalde,hybrid,9
Esperança,push,9
Ilios,control,7
Junkertown,payload,2
King's Row,hybrid,13
Lijiang Tower,control,9
Nepal,control,3
New Queen Street,push,1
Oasis,control,9
Paraíso,hybrid,7
Route 66,payload,10
