hero_name,total_times_played
Ana,57
Ashe,118
Baptiste,5
Bastion,9
Brigitte,225
Cassidy,5
D.Va,5
Doomfist,43
Echo,28
Genji,226
Hanzo,25
Junker Queen,226
Junkrat,4
Lucio,226
Mei,25
Mercy,18
Moira,18
Orisa,4
Pharah,25
Reaper,1
Reinhardt,4
Roadhog,4
Sojourn,216
Soldier: 76,5
Sombra,4
Symmetra,83
Tracer,69
Widowmaker,99
Winston,3
Wrecking Ball,20
Zarya,2
Zenyatta,14
