hero_name,total_times_played
Ana,18
Ashe,47
Baptiste,1
Bastion,2
Brigitte,80
Doomfist,28
Echo,3
Genji,80
Hanzo,4
Junker Queen,80
Lucio,80
Mei,3
Mercy,4
Moira,3
Pharah,2
Reaper,2
Roadhog,1
Sojourn,79
Soldier: 76,1
Sombra,1
Symmetra,32
Tracer,24
Widowmaker,23
Winston,1
Wrecking Ball,6
Zenyatta,8
