,map_name,map_type
0,Oasis,control
419,Eichenwalde,hybrid
885,Route 66,payload
1304,Colosseo,push
1676,Lijiang Tower,control
2059,King's Row,hybrid
3122,New Queen Street,push
3559,Nepal,control
3973,Paraíso,hybrid
4414,Circuit royal,payload
5166,Ilios,control
6632,Junkertown,payload
10021,Dorado,payload
38791,Busan,control
