map_name,map_type,map_count
Circuit royal,payload,23
Colosseo,push,35
Dorado,payload,23
Eichenwalde,hybrid,30
Ilios,control,26
King's Row,hybrid,28
Lijiang Tower,control,32
Midtown,hybrid,24
New Queen Street,push,33
Oasis,control,31
Route 66,payload,18
Watchpoint: Gibraltar,payload,19
