,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
1737,39107,Nepal,control,MER1T,Houston Outlaws,Sojourn,Summer Showdown: Qualifiers
1761,39107,Nepal,control,MER1T,Houston Outlaws,Symmetra,Summer Showdown: Qualifiers
1780,39107,Nepal,control,PELICAN,Houston Outlaws,Genji,Summer Showdown: Qualifiers
1801,39107,Nepal,control,PELICAN,Houston Outlaws,Mei,Summer Showdown: Qualifiers
1823,39107,Nepal,control,PELICAN,Houston Outlaws,Symmetra,Summer Showdown: Qualifiers
1839,39107,Nepal,control,ANSOONJAE,New York Excelsior,Lucio,Summer Showdown: Qualifiers
1879,39107,Nepal,control,Flora,New York Excelsior,Ashe,Summer Showdown: Qualifiers
1903,39107,Nepal,control,Flora,New York Excelsior,Sojourn,Summer Showdown: Qualifiers
1914,39107,Nepal,control,Flora,New York Excelsior,Symmetra,Summer Showdown: Qualifiers
1934,39107,Nepal,control,GangNamJin,New York Excelsior,Brigitte,Summer Showdown: Qualifiers
1971,39107,Nepal,control,Kellan,New York Excelsior,Junker Queen,Summer Showdown: Qualifiers
2016,39107,Nepal,control,Yaki,New York Excelsior,Genji,Summer Showdown: Qualifiers
2038,39107,Nepal,control,Yaki,New York Excelsior,Symmetra,Summer Showdown: Qualifiers
2058,39107,Midtown,hybrid,Doge,Houston Outlaws,Junker Queen,Summer Showdown: Qualifiers
2094,39107,Midtown,hybrid,Lastro,Houston Outlaws,Brigitte,Summer Showdown: Qualifiers
2123,39107,Midtown,hybrid,Lep,Houston Outlaws,Lucio,Summer Showdown: Qualifiers
2173,39107,Midtown,hybrid,MER1T,Houston Outlaws,Ashe,Summer Showdown: Qualifiers
2190,39107,Midtown,hybrid,MER1T,Houston Outlaws,Hanzo,Summer Showdown: Qualifiers
2192,39107,Midtown,hybrid,MER1T,Houston Outlaws,Sojourn,Summer Showdown: Qualifiers
2220,39107,Midtown,hybrid,PELICAN,Houston Outlaws,Genji,Summer Showdown: Qualifiers
2245,39107,Midtown,hybrid,PELICAN,Houston Outlaws,Widowmaker,Summer Showdown: Qualifiers
2269,39107,Midtown,hybrid,ANSOONJAE,New York Excelsior,Lucio,Summer Showdown: Qualifiers
2307,39107,Midtown,hybrid,Flora,New York Excelsior,Ashe,Summer Showdown: Qualifiers
2328,39107,Midtown,hybrid,Flora,New York Excelsior,Sojourn,Summer Showdown: Qualifiers
2366,39107,Midtown,hybrid,GangNamJin,New York Excelsior,Ana,Summer Showdown: Qualifiers
2373,39107,Midtown,hybrid,GangNamJin,New York Excelsior,Brigitte,Summer Showdown: Qualifiers
2406,39107,Midtown,hybrid,Kellan,New York Excelsior,Junker Queen,Summer Showdown: Qualifiers
2443,39107,Midtown,hybrid,Yaki,New York Excelsior,Genji,Summer Showdown: Qualifiers
2478,39107,Dorado,payload,Doge,Houston Outlaws,Junker Queen,Summer Showdown: Qualifiers
2516,39107,Dorado,payload,Lastro,Houston Outlaws,Brigitte,Summer Showdown: Qualifiers
2549,39107,Dorado,payload,Lep,Houston Outlaws,Lucio,Summer Showdown: Qualifiers
2582,39107,Dorado,payload,MER1T,Houston Outlaws,Ashe,Summer Showdown: Qualifiers
2630,39107,Dorado,payload,PELICAN,Houston Outlaws,Genji,Summer Showdown: Qualifiers
2653,39107,Dorado,payload,PELICAN,Houston Outlaws,Widowmaker,Summer Showdown: Qualifiers
2677,39107,Dorado,payload,ANSOONJAE,New York Excelsior,Lucio,Summer Showdown: Qualifiers
2712,39107,Dorado,payload,Flora,New York Excelsior,Ashe,Summer Showdown: Qualifiers
2737,39107,Dorado,payload,Flora,New York Excelsior,Tracer,Summer Showdown: Qualifiers
2761,39107,Dorado,payload,GangNamJin,New York Excelsior,Brigitte,Summer Showdown: Qualifiers
2795,39107,Dorado,payload,Kellan,New York Excelsior,Doomfist,Summer Showdown: Qualifiers
2798,39107,Dorado,payload,Kellan,New York Excelsior,Junker Queen,Summer Showdown: Qualifiers
2821,39107,Dorado,payload,Kellan,New York Excelsior,Reinhardt,Summer Showdown: Qualifiers
2840,39107,Dorado,payload,Yaki,New York Excelsior,Genji,Summer Showdown: Qualifiers
2869,39107,New Queen Street,push,Doge,Houston Outlaws,Junker Queen,Summer Showdown: Qualifiers
2901,39107,New Queen Street,push,Lastro,Houston Outlaws,Brigitte,Summer Showdown: Qualifiers
2934,39107,New Queen Street,push,Lep,Houston Outlaws,Lucio,Summer Showdown: Qualifiers
2969,39107,New Queen Street,push,MER1T,Houston Outlaws,Ashe,Summer Showdown: Qualifiers
2995,39107,New Queen Street,push,PELICAN,Houston Outlaws,Genji,Summer Showdown: Qualifiers
3037,39107,New Queen Street,push,ANSOONJAE,New York Excelsior,Lucio,Summer Showdown: Qualifiers
3073,39107,New Queen Street,push,Flora,New York Excelsior,Ashe,Summer Showdown: Qualifiers
3106,39107,New Queen Street,push,GangNamJin,New York Excelsior,Brigitte,Summer Showdown: Qualifiers
3136,39107,New Queen Street,push,Kellan,New York Excelsior,Junker Queen,Summer Showdown: Qualifiers
3171,39107,New Queen Street,push,Yaki,New York Excelsior,Genji,Summer Showdown: Qualifiers
3206,39107,Oasis,control,Danteh,Houston Outlaws,Junker Queen,Summer Showdown: Qualifiers
3233,39107,Oasis,control,Lastro,Houston Outlaws,Brigitte,Summer Showdown: Qualifiers
3246,39107,Oasis,control,Lastro,Houston Outlaws,Moira,Summer Showdown: Qualifiers
3264,39107,Oasis,control,Lep,Houston Outlaws,Lucio,Summer Showdown: Qualifiers
3303,39107,Oasis,control,MER1T,Houston Outlaws,Sojourn,Summer Showdown: Qualifiers
3334,39107,Oasis,control,PELICAN,Houston Outlaws,Echo,Summer Showdown: Qualifiers
3355,39107,Oasis,control,PELICAN,Houston Outlaws,Genji,Summer Showdown: Qualifiers
3369,39107,Oasis,control,PELICAN,Houston Outlaws,Symmetra,Summer Showdown: Qualifiers
3388,39107,Oasis,control,ANSOONJAE,New York Excelsior,Lucio,Summer Showdown: Qualifiers
3422,39107,Oasis,control,Flora,New York Excelsior,Sojourn,Summer Showdown: Qualifiers
3454,39107,Oasis,control,GangNamJin,New York Excelsior,Brigitte,Summer Showdown: Qualifiers
3486,39107,Oasis,control,Kellan,New York Excelsior,Doomfist,Summer Showdown: Qualifiers
3503,39107,Oasis,control,Kellan,New York Excelsior,Junker Queen,Summer Showdown: Qualifiers
3539,39107,Oasis,control,Yaki,New York Excelsior,Genji,Summer Showdown: Qualifiers
3581,39108,Oasis,control,ChiYo,Dallas Fuel,Lucio,Summer Showdown: Qualifiers
3625,39108,Oasis,control,Doha,Dallas Fuel,Genji,Summer Showdown: Qualifiers
3651,39108,Oasis,control,Doha,Dallas Fuel,Mei,Summer Showdown: Qualifiers
3675,39108,Oasis,control,Doha,Dallas Fuel,Symmetra,Summer Showdown: Qualifiers
3689,39108,Oasis,control,Edison,Dallas Fuel,Sojourn,Summer Showdown: Qualifiers
3713,39108,Oasis,control,Edison,Dallas Fuel,Symmetra,Summer Showdown: Qualifiers
3731,39108,Oasis,control,Fielder,Dallas Fuel,Brigitte,Summer Showdown: Qualifiers
3762,39108,Oasis,control,Hanbin,Dallas Fuel,Junker Queen,Summer Showdown: Qualifiers
3802,39108,Oasis,control,FunnyAstro,Los Angeles Gladiators,Lucio,Summer Showdown: Qualifiers
3834,39108,Oasis,control,Reiner,Los Angeles Gladiators,Junker Queen,Summer Showdown: Qualifiers
