hero_name,0
Ana,568
Ashe,53
Baptiste,77
Bastion,10
Brigitte,158
Cassidy,23
D.Va,42
Doomfist,196
Echo,141
Genji,312
Hanzo,72
Junkrat,2
Lucio,562
Mei,79
Mercy,77
Moira,74
Orisa,3
Pharah,24
Reaper,244
Reinhardt,73
Roadhog,12
Sigma,27
Sojourn,10
Soldier: 76,530
Sombra,32
Symmetra,197
Torbjorn,5
Tracer,421
Widowmaker,259
Winston,324
Wrecking Ball,12
Zarya,237
Zenyatta,37
