hero_name,total_times_played
Ana,75
Ashe,10
Baptiste,20
Bastion,1
Brigitte,21
Cassidy,8
D.Va,5
Doomfist,45
Echo,18
Genji,45
Hanzo,21
Lucio,72
Mei,21
Mercy,10
Moira,26
Orisa,1
Pharah,5
Reaper,48
Reinhardt,20
Roadhog,4
Sigma,4
Sojourn,1
Soldier: 76,66
Sombra,3
Symmetra,38
Torbjorn,2
Tracer,72
Widowmaker,40
Winston,54
Wrecking Ball,4
Zarya,38
Zenyatta,4
