hero_name,total_times_played
Ana,427
Ashe,43
Baptiste,52
Bastion,9
Brigitte,120
Cassidy,15
D.Va,36
Doomfist,129
Echo,122
Genji,251
Hanzo,45
Junkrat,2
Lucio,425
Mei,56
Mercy,66
Moira,40
Orisa,2
Pharah,19
Reaper,181
Reinhardt,50
Roadhog,7
Sigma,19
Sojourn,9
Soldier: 76,407
Sombra,29
Symmetra,138
Torbjorn,3
Tracer,287
Widowmaker,191
Winston,239
Wrecking Ball,7
Zarya,188
Zenyatta,29
