hero_name,total_times_played
Ana,22
Ashe,1
Baptiste,27
Bastion,3
Brigitte,12
D.Va,5
Doomfist,27
Echo,3
Genji,26
Hanzo,9
Junker Queen,1
Junkrat,3
Kiriko,82
Lucio,104
Mei,2
Mercy,1
Moira,3
Orisa,4
Reaper,82
Reinhardt,4
Roadhog,8
Sigma,4
Sojourn,107
Soldier: 76,1
Sombra,13
Symmetra,29
Tracer,53
Widowmaker,47
Winston,89
Wrecking Ball,1
Zarya,22
Zenyatta,11
