,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
1761,38971,New Queen Street,push,Kellan,New York Excelsior,Winston,Kickoff Clash: Qualifiers
1805,38971,New Queen Street,push,Myunb0ng,New York Excelsior,Ana,Kickoff Clash: Qualifiers
1837,38971,New Queen Street,push,Yaki,New York Excelsior,Echo,Kickoff Clash: Qualifiers
1870,38972,Ilios,control,Coluge,San Francisco Shock,Winston,Kickoff Clash: Qualifiers
1914,38972,Ilios,control,FiNN,San Francisco Shock,Ana,Kickoff Clash: Qualifiers
1936,38972,Ilios,control,FiNN,San Francisco Shock,Moira,Kickoff Clash: Qualifiers
1975,38972,Ilios,control,Proper,San Francisco Shock,Reaper,Kickoff Clash: Qualifiers
1995,38972,Ilios,control,Proper,San Francisco Shock,Tracer,Kickoff Clash: Qualifiers
2029,38972,Ilios,control,Viol2t,San Francisco Shock,Lucio,Kickoff Clash: Qualifiers
2062,38972,Ilios,control,s9mm,San Francisco Shock,Genji,Kickoff Clash: Qualifiers
2097,38972,Ilios,control,Glister,Vegas Eternal,Reaper,Kickoff Clash: Qualifiers
2102,38972,Ilios,control,Glister,Vegas Eternal,Soldier: 76,Kickoff Clash: Qualifiers
2124,38972,Ilios,control,Glister,Vegas Eternal,Symmetra,Kickoff Clash: Qualifiers
2131,38972,Ilios,control,Glister,Vegas Eternal,Tracer,Kickoff Clash: Qualifiers
2144,38972,Ilios,control,Glister,Vegas Eternal,Widowmaker,Kickoff Clash: Qualifiers
2173,38972,Ilios,control,Kaan,Vegas Eternal,Ana,Kickoff Clash: Qualifiers
2210,38972,Ilios,control,Naga,Vegas Eternal,Genji,Kickoff Clash: Qualifiers
2238,38972,Ilios,control,Vestola,Vegas Eternal,D.Va,Kickoff Clash: Qualifiers
2258,38972,Ilios,control,Vestola,Vegas Eternal,Doomfist,Kickoff Clash: Qualifiers
2260,38972,Ilios,control,Vestola,Vegas Eternal,Zarya,Kickoff Clash: Qualifiers
2297,38972,Ilios,control,dridro,Vegas Eternal,Lucio,Kickoff Clash: Qualifiers
2336,38972,King's Row,hybrid,Coluge,San Francisco Shock,Winston,Kickoff Clash: Qualifiers
2383,38972,King's Row,hybrid,FiNN,San Francisco Shock,Ana,Kickoff Clash: Qualifiers
2423,38972,King's Row,hybrid,Proper,San Francisco Shock,Soldier: 76,Kickoff Clash: Qualifiers
2447,38972,King's Row,hybrid,Proper,San Francisco Shock,Widowmaker,Kickoff Clash: Qualifiers
2470,38972,King's Row,hybrid,Viol2t,San Francisco Shock,Lucio,Kickoff Clash: Qualifiers
2508,38972,King's Row,hybrid,s9mm,San Francisco Shock,Genji,Kickoff Clash: Qualifiers
2548,38972,King's Row,hybrid,Daan,Vegas Eternal,Winston,Kickoff Clash: Qualifiers
2583,38972,King's Row,hybrid,Glister,Vegas Eternal,Pharah,Kickoff Clash: Qualifiers
2585,38972,King's Row,hybrid,Glister,Vegas Eternal,Soldier: 76,Kickoff Clash: Qualifiers
2623,38972,King's Row,hybrid,Kaan,Vegas Eternal,Ana,Kickoff Clash: Qualifiers
2662,38972,King's Row,hybrid,Naga,Vegas Eternal,Genji,Kickoff Clash: Qualifiers
2693,38972,King's Row,hybrid,dridro,Vegas Eternal,Lucio,Kickoff Clash: Qualifiers
2732,38972,Dorado,payload,Coluge,San Francisco Shock,Winston,Kickoff Clash: Qualifiers
2768,38972,Dorado,payload,FiNN,San Francisco Shock,Ana,Kickoff Clash: Qualifiers
