,map_name,map_type
0,Lijiang Tower,control
455,Midtown,hybrid
936,Circuit royal,payload
1438,New Queen Street,push
1862,Ilios,control
2326,King's Row,hybrid
2717,Dorado,payload
3659,Eichenwalde,hybrid
4228,Watchpoint: Gibraltar,payload
4634,Colosseo,push
8107,Oasis,control
12503,Route 66,payload
