team_name,control,hybrid,payload,push,total_map_played
Atlanta Reign,3,2,4,1,10
Dallas Fuel,1,2,2,1,6
Florida Mayhem,3,3,1,2,9
Hangzhou Spark,3,3,2,2,10
Houston Outlaws,2,3,2,2,9
London Spitfire,3,1,3,1,8
Los Angeles Gladiators,3,3,3,2,11
San Francisco Shock,3,1,4,2,10
Seoul Dynasty,3,2,2,1,8
Seoul Infernal,3,2,4,2,11
Shanghai Dragons,3,3,2,1,9
Toronto Defiant,3,1,1,1,6
