map_name,map_type,map_count
Circuit royal,payload,7
Colosseo,push,12
Dorado,payload,8
Eichenwalde,hybrid,10
Ilios,control,8
King's Row,hybrid,8
Lijiang Tower,control,11
Midtown,hybrid,4
New Queen Street,push,5
Oasis,control,11
Route 66,payload,3
Watchpoint: Gibraltar,payload,5
