map_name,map_type,map_count
Circuit royal,payload,16
Colosseo,push,23
Dorado,payload,15
Eichenwalde,hybrid,20
Ilios,control,18
King's Row,hybrid,20
Lijiang Tower,control,21
Midtown,hybrid,20
New Queen Street,push,28
Oasis,control,20
Route 66,payload,15
Watchpoint: Gibraltar,payload,14
