hero_name,total_times_played
Ana,186
Ashe,67
Baptiste,155
Bastion,3
Brigitte,139
Cassidy,22
D.Va,27
Doomfist,161
Echo,75
Genji,122
Hanzo,83
Junkrat,3
Lucio,175
Mei,48
Mercy,17
Moira,53
Orisa,4
Pharah,8
Reaper,8
Reinhardt,39
Roadhog,14
Sigma,111
Sojourn,207
Soldier: 76,22
Sombra,59
Symmetra,100
Torbjorn,1
Tracer,214
Widowmaker,118
Winston,70
Wrecking Ball,114
Zarya,31
Zenyatta,220
