hero_name,total_times_played
Ana,444
Ashe,143
Baptiste,299
Bastion,4
Brigitte,271
Cassidy,27
D.Va,49
Doomfist,312
Echo,132
Genji,236
Hanzo,145
Junkrat,5
Lucio,394
Mei,70
Mercy,23
Moira,88
Orisa,5
Pharah,12
Reaper,14
Reinhardt,62
Roadhog,21
Sigma,200
Sojourn,492
Soldier: 76,31
Sombra,92
Symmetra,266
Torbjorn,2
Tracer,603
Widowmaker,240
Winston,152
Wrecking Ball,211
Zarya,51
Zenyatta,532
