hero_name,total_times_played
Ana,80
Ashe,46
Baptiste,42
Bastion,1
Brigitte,55
Cassidy,4
D.Va,20
Doomfist,64
Echo,31
Genji,51
Hanzo,21
Junkrat,1
Lucio,74
Mei,11
Mercy,6
Moira,24
Orisa,1
Pharah,4
Reaper,5
Reinhardt,15
Roadhog,5
Sigma,26
Sojourn,86
Soldier: 76,6
Sombra,18
Symmetra,41
Torbjorn,1
Tracer,87
Widowmaker,42
Winston,49
Wrecking Ball,55
Zarya,16
Zenyatta,84
