,map_name,player_name,team_name,hero_name
39901,King's Row,MER1T,Houston Outlaws,Sojourn
39930,King's Row,PELICAN,Houston Outlaws,Reaper
39965,King's Row,FiNN,San Francisco Shock,Kiriko
39998,King's Row,Proper,San Francisco Shock,Sojourn
40032,King's Row,STRIKER,San Francisco Shock,Reaper
40055,King's Row,STRIKER,San Francisco Shock,Widowmaker
40073,King's Row,Viol2t,San Francisco Shock,Lucio
40120,King's Row,mikeyy,San Francisco Shock,Winston
40165,Route 66,Creative,Houston Outlaws,Kiriko
40196,Route 66,Danteh,Houston Outlaws,Winston
40232,Route 66,Lastro,Houston Outlaws,Lucio
40269,Route 66,MER1T,Houston Outlaws,Sojourn
40298,Route 66,PELICAN,Houston Outlaws,Reaper
40334,Route 66,Coluge,San Francisco Shock,Doomfist
40342,Route 66,Coluge,San Francisco Shock,Winston
40381,Route 66,FiNN,San Francisco Shock,Baptiste
40395,Route 66,FiNN,San Francisco Shock,Kiriko
40421,Route 66,Proper,San Francisco Shock,Sojourn
40445,Route 66,Proper,San Francisco Shock,Symmetra
40466,Route 66,STRIKER,San Francisco Shock,Reaper
40498,Route 66,Viol2t,San Francisco Shock,Lucio
40540,Lijiang Tower,ChiYo,Dallas Fuel,Lucio
40582,Lijiang Tower,Edison,Dallas Fuel,Sojourn
40614,Lijiang Tower,FEARLESS,Dallas Fuel,Winston
40654,Lijiang Tower,Fielder,Dallas Fuel,Kiriko
40685,Lijiang Tower,SP9RK1E,Dallas Fuel,Reaper
40703,Lijiang Tower,SP9RK1E,Dallas Fuel,Symmetra
40722,Lijiang Tower,FiNN,San Francisco Shock,Kiriko
40749,Lijiang Tower,Proper,San Francisco Shock,Sojourn
40779,Lijiang Tower,STRIKER,San Francisco Shock,Reaper
40805,Lijiang Tower,Viol2t,San Francisco Shock,Lucio
40851,Lijiang Tower,mikeyy,San Francisco Shock,Winston
40892,King's Row,ChiYo,Dallas Fuel,Lucio
40929,King's Row,Edison,Dallas Fuel,Sojourn
40951,King's Row,Edison,Dallas Fuel,Widowmaker
40964,King's Row,FEARLESS,Dallas Fuel,Winston
41007,King's Row,Fielder,Dallas Fuel,Kiriko
41041,King's Row,SP9RK1E,Dallas Fuel,Reaper
41076,King's Row,FiNN,San Francisco Shock,Kiriko
41107,King's Row,Proper,San Francisco Shock,Sojourn
41145,King's Row,STRIKER,San Francisco Shock,Reaper
41180,King's Row,Viol2t,San Francisco Shock,Lucio
41224,King's Row,mikeyy,San Francisco Shock,Winston
41267,Dorado,ChiYo,Dallas Fuel,Lucio
41302,Dorado,Edison,Dallas Fuel,Sojourn
41339,Dorado,FEARLESS,Dallas Fuel,Winston
41377,Dorado,Fielder,Dallas Fuel,Kiriko
41410,Dorado,SP9RK1E,Dallas Fuel,Reaper
41431,Dorado,SP9RK1E,Dallas Fuel,Tracer
41455,Dorado,FiNN,San Francisco Shock,Kiriko
41487,Dorado,Proper,San Francisco Shock,Sojourn
41508,Dorado,Proper,San Francisco Shock,Tracer
41535,Dorado,STRIKER,San Francisco Shock,Reaper
41572,Dorado,Viol2t,San Francisco Shock,Lucio
41612,Dorado,mikeyy,San Francisco Shock,Winston
41658,Esperança,ChiYo,Dallas Fuel,Lucio
41710,Esperança,Edison,Dallas Fuel,Sojourn
41752,Esperança,FEARLESS,Dallas Fuel,Winston
41801,Esperança,Fielder,Dallas Fuel,Kiriko
41832,Esperança,SP9RK1E,Dallas Fuel,Reaper
41881,Esperança,FiNN,San Francisco Shock,Kiriko
41906,Esperança,Proper,San Francisco Shock,Sojourn
41938,Esperança,STRIKER,San Francisco Shock,Reaper
41963,Esperança,Viol2t,San Francisco Shock,Lucio
42005,Esperança,mikeyy,San Francisco Shock,Winston
42041,Oasis,ChiYo,Dallas Fuel,Lucio
42082,Oasis,Edison,Dallas Fuel,Sojourn
42121,Oasis,FEARLESS,Dallas Fuel,Doomfist
42124,Oasis,FEARLESS,Dallas Fuel,Winston
42156,Oasis,Fielder,Dallas Fuel,Kiriko
42194,Oasis,SP9RK1E,Dallas Fuel,Reaper
42231,Oasis,FiNN,San Francisco Shock,Kiriko
42264,Oasis,Proper,San Francisco Shock,Sojourn
42301,Oasis,STRIKER,San Francisco Shock,Reaper
42337,Oasis,Viol2t,San Francisco Shock,Lucio
42381,Oasis,mikeyy,San Francisco Shock,Winston
42424,Route 66,ChiYo,Dallas Fuel,Lucio
42464,Route 66,Edison,Dallas Fuel,Sojourn
42503,Route 66,FEARLESS,Dallas Fuel,Winston
42538,Route 66,Fielder,Dallas Fuel,Kiriko
42566,Route 66,SP9RK1E,Dallas Fuel,Reaper
42599,Route 66,FiNN,San Francisco Shock,Kiriko
42631,Route 66,Proper,San Francisco Shock,Sojourn
42668,Route 66,STRIKER,San Francisco Shock,Hanzo
42673,Route 66,STRIKER,San Francisco Shock,Reaper
42703,Route 66,Viol2t,San Francisco Shock,Lucio
42738,Route 66,mikeyy,San Francisco Shock,Winston
42776,Colosseo,ChiYo,Dallas Fuel,Lucio
42813,Colosseo,Edison,Dallas Fuel,Sojourn
42849,Colosseo,FEARLESS,Dallas Fuel,Winston
42892,Colosseo,Fielder,Dallas Fuel,Kiriko
42919,Colosseo,SP9RK1E,Dallas Fuel,Reaper
42953,Colosseo,FiNN,San Francisco Shock,Kiriko
42978,Colosseo,Proper,San Francisco Shock,Sojourn
43006,Colosseo,STRIKER,San Francisco Shock,Reaper
43038,Colosseo,Viol2t,San Francisco Shock,Lucio
43080,Colosseo,mikeyy,San Francisco Shock,Winston
