map_name,map_type,map_count
Busan,control,3
Circuit royal,payload,14
Colosseo,push,8
Dorado,payload,6
Hollywood,hybrid,9
Ilios,control,3
Lijiang Tower,control,10
Midtown,hybrid,4
Nepal,control,3
New Queen Street,push,6
Oasis,control,6
Paraíso,hybrid,7
Watchpoint: Gibraltar,payload,1
