map_name,map_type,map_count
Busan,control,19
Circuit royal,payload,30
Colosseo,push,25
Dorado,payload,20
Hollywood,hybrid,29
Ilios,control,17
Junkertown,payload,16
Lijiang Tower,control,24
Midtown,hybrid,24
Nepal,control,17
New Queen Street,push,21
Oasis,control,22
Paraíso,hybrid,27
Watchpoint: Gibraltar,payload,15
