map_name,map_type,map_count
Busan,control,16
Circuit royal,payload,16
Colosseo,push,17
Dorado,payload,14
Hollywood,hybrid,20
Ilios,control,14
Junkertown,payload,16
Lijiang Tower,control,14
Midtown,hybrid,20
Nepal,control,14
New Queen Street,push,15
Oasis,control,16
Paraíso,hybrid,20
Watchpoint: Gibraltar,payload,14
