team_name,control,hybrid,payload,push,total_map_played
Dallas Fuel,2.0,2.0,2.0,2.0,8.0
Florida Mayhem,4.0,3.0,3.0,1.0,11.0
Guangzhou Charge,2.0,2.0,1.0,,5.0
Houston Outlaws,2.0,1.0,2.0,1.0,6.0
London Spitfire,3.0,2.0,3.0,2.0,10.0
San Francisco Shock,2.0,2.0,2.0,2.0,8.0
Seoul Dynasty,3.0,3.0,2.0,2.0,10.0
Seoul Infernal,3.0,2.0,1.0,2.0,8.0
Shanghai Dragons,2.0,2.0,2.0,1.0,7.0
Toronto Defiant,5.0,2.0,2.0,2.0,11.0
Vancouver Titans,1.0,2.0,1.0,1.0,5.0
Washington Justice,2.0,1.0,1.0,2.0,6.0
