,esports_match_id,map_name,map_type,player_name,team_name,hero_name
221092,39142,Eichenwalde,hybrid,FiNN,San Francisco Shock,Zenyatta
221127,39142,Eichenwalde,hybrid,Proper,San Francisco Shock,Genji
221143,39142,Eichenwalde,hybrid,Proper,San Francisco Shock,Tracer
221183,39142,Eichenwalde,hybrid,Viol2t,San Francisco Shock,Ana
221214,39142,Eichenwalde,hybrid,Viol2t,San Francisco Shock,Baptiste
221255,39142,Eichenwalde,hybrid,s9mm,San Francisco Shock,Echo
221276,39142,Eichenwalde,hybrid,s9mm,San Francisco Shock,Genji
221282,39142,Eichenwalde,hybrid,s9mm,San Francisco Shock,Sojourn
221306,39142,Eichenwalde,hybrid,s9mm,San Francisco Shock,Sombra
221332,39142,Watchpoint: Gibraltar,payload,ANS,Los Angeles Gladiators,Cassidy
221344,39142,Watchpoint: Gibraltar,payload,ANS,Los Angeles Gladiators,Symmetra
221352,39142,Watchpoint: Gibraltar,payload,ANS,Los Angeles Gladiators,Widowmaker
221395,39142,Watchpoint: Gibraltar,payload,Reiner,Los Angeles Gladiators,Winston
221428,39142,Watchpoint: Gibraltar,payload,kevster,Los Angeles Gladiators,Genji
221448,39142,Watchpoint: Gibraltar,payload,kevster,Los Angeles Gladiators,Tracer
221484,39142,Watchpoint: Gibraltar,payload,shu,Los Angeles Gladiators,Ana
221524,39142,Watchpoint: Gibraltar,payload,skewed,Los Angeles Gladiators,Brigitte
221540,39142,Watchpoint: Gibraltar,payload,skewed,Los Angeles Gladiators,Zenyatta
221579,39142,Watchpoint: Gibraltar,payload,FiNN,San Francisco Shock,Ana
221618,39142,Watchpoint: Gibraltar,payload,Kilo,San Francisco Shock,Ashe
221636,39142,Watchpoint: Gibraltar,payload,Kilo,San Francisco Shock,Reaper
221640,39142,Watchpoint: Gibraltar,payload,Kilo,San Francisco Shock,Tracer
221653,39142,Watchpoint: Gibraltar,payload,Kilo,San Francisco Shock,Widowmaker
221681,39142,Watchpoint: Gibraltar,payload,Proper,San Francisco Shock,Genji
