,map_name,map_type
0,Ilios,control
423,Eichenwalde,hybrid
814,Watchpoint: Gibraltar,payload
1177,Colosseo,push
1554,Oasis,control
2124,Lijiang Tower,control
2742,Midtown,hybrid
3231,Circuit royal,payload
4211,King's Row,hybrid
4574,Route 66,payload
6124,Dorado,payload
6553,New Queen Street,push
