,map_name,player_name,team_name,hero_name
151299,Lijiang Tower,Crimzo,Boston Uprising,Zenyatta
151335,Lijiang Tower,MCD,Boston Uprising,Ana
151377,Lijiang Tower,Valentine,Boston Uprising,Genji
151404,Lijiang Tower,Valentine,Boston Uprising,Symmetra
151420,Lijiang Tower,Victoria,Boston Uprising,Sojourn
151446,Lijiang Tower,Victoria,Boston Uprising,Symmetra
151450,Lijiang Tower,Victoria,Boston Uprising,Tracer
151476,Lijiang Tower,punk,Boston Uprising,Doomfist
151514,Lijiang Tower,Anamo,Florida Mayhem,Lucio
151556,Lijiang Tower,Checkmate,Florida Mayhem,Tracer
151598,Lijiang Tower,SirMajed,Florida Mayhem,Moira
151640,Lijiang Tower,Someone,Florida Mayhem,Doomfist
151677,Lijiang Tower,Xzi,Florida Mayhem,Sojourn
151702,Lijiang Tower,Xzi,Florida Mayhem,Sombra
151731,King's Row,Crimzo,Boston Uprising,Zenyatta
151768,King's Row,MCD,Boston Uprising,Ana
151808,King's Row,Valentine,Boston Uprising,Genji
151835,King's Row,Valentine,Boston Uprising,Hanzo
151842,King's Row,Valentine,Boston Uprising,Tracer
151876,King's Row,Victoria,Boston Uprising,Sojourn
151915,King's Row,punk,Boston Uprising,Doomfist
151937,King's Row,punk,Boston Uprising,Sigma
151970,King's Row,Anamo,Florida Mayhem,Ana
151993,King's Row,Anamo,Florida Mayhem,Lucio
152004,King's Row,Checkmate,Florida Mayhem,Genji
152046,King's Row,SirMajed,Florida Mayhem,Zenyatta
152084,King's Row,Someone,Florida Mayhem,Doomfist
152120,King's Row,Xzi,Florida Mayhem,Sojourn
152146,King's Row,Xzi,Florida Mayhem,Tracer
152157,King's Row,Xzi,Florida Mayhem,Widowmaker
152174,Route 66,Crimzo,Boston Uprising,Zenyatta
152214,Route 66,MCD,Boston Uprising,Ana
152252,Route 66,Valentine,Boston Uprising,Genji
152273,Route 66,Valentine,Boston Uprising,Widowmaker
152290,Route 66,Victoria,Boston Uprising,Sojourn
152324,Route 66,punk,Boston Uprising,Doomfist
152343,Route 66,punk,Boston Uprising,Sigma
152368,Route 66,Anamo,Florida Mayhem,Ana
152395,Route 66,Anamo,Florida Mayhem,Lucio
152409,Route 66,Checkmate,Florida Mayhem,Genji
152449,Route 66,SirMajed,Florida Mayhem,Zenyatta
152488,Route 66,Someone,Florida Mayhem,Doomfist
152518,Route 66,Xzi,Florida Mayhem,Sojourn
152548,Route 66,Xzi,Florida Mayhem,Tracer
152577,New Queen Street,Crimzo,Boston Uprising,Zenyatta
152615,New Queen Street,Faith,Boston Uprising,Baptiste
152651,New Queen Street,Valentine,Boston Uprising,Mei
152686,New Queen Street,Victoria,Boston Uprising,Sojourn
152723,New Queen Street,punk,Boston Uprising,Sigma
152755,New Queen Street,Anamo,Florida Mayhem,Lucio
152793,New Queen Street,Checkmate,Florida Mayhem,Mei
152835,New Queen Street,SirMajed,Florida Mayhem,Baptiste
152871,New Queen Street,Someone,Florida Mayhem,Reinhardt
152901,New Queen Street,Xzi,Florida Mayhem,Sojourn
152939,Ilios,Crimzo,Boston Uprising,Lucio
152955,Ilios,Crimzo,Boston Uprising,Zenyatta
152989,Ilios,ITSAL,Boston Uprising,Winston
153019,Ilios,ITSAL,Boston Uprising,Wrecking Ball
153061,Ilios,MCD,Boston Uprising,Ana
153095,Ilios,MCD,Boston Uprising,Lucio
153097,Ilios,MCD,Boston Uprising,Moira
153121,Ilios,Valentine,Boston Uprising,Echo
153152,Ilios,Valentine,Boston Uprising,Tracer
153179,Ilios,Victoria,Boston Uprising,Sojourn
153204,Ilios,Victoria,Boston Uprising,Symmetra
153210,Ilios,Victoria,Boston Uprising,Tracer
153231,Ilios,Victoria,Boston Uprising,Widowmaker
153262,Ilios,Anamo,Florida Mayhem,Lucio
153300,Ilios,Checkmate,Florida Mayhem,Tracer
153340,Ilios,SirMajed,Florida Mayhem,Moira
153378,Ilios,Someone,Florida Mayhem,Doomfist
153405,Ilios,Xzi,Florida Mayhem,Sojourn
153424,Ilios,Xzi,Florida Mayhem,Soldier: 76
153428,Ilios,Xzi,Florida Mayhem,Sombra
153460,Lijiang Tower,ChoiSehwan,Guangzhou Charge,Echo
153478,Lijiang Tower,ChoiSehwan,Guangzhou Charge,Genji
153497,Lijiang Tower,ChoiSehwan,Guangzhou Charge,Pharah
153514,Lijiang Tower,ChoiSehwan,Guangzhou Charge,Symmetra
153517,Lijiang Tower,ChoiSehwan,Guangzhou Charge,Tracer
153547,Lijiang Tower,Cr0ng,Guangzhou Charge,Doomfist
153584,Lijiang Tower,Develop,Guangzhou Charge,Ashe
153610,Lijiang Tower,Develop,Guangzhou Charge,Symmetra
153616,Lijiang Tower,Develop,Guangzhou Charge,Tracer
153649,Lijiang Tower,Farway1987,Guangzhou Charge,Zenyatta
153691,Lijiang Tower,Unique,Guangzhou Charge,Ana
153720,Lijiang Tower,Unique,Guangzhou Charge,Lucio
153736,Lijiang Tower,AimGod,Seoul Infernal,Baptiste
153759,Lijiang Tower,AimGod,Seoul Infernal,Zenyatta
153795,Lijiang Tower,Belosrea,Seoul Infernal,Doomfist
153810,Lijiang Tower,Belosrea,Seoul Infernal,Wrecking Ball
153855,Lijiang Tower,FIXA,Seoul Infernal,Baptiste
153872,Lijiang Tower,FIXA,Seoul Infernal,Brigitte
153888,Lijiang Tower,FIXA,Seoul Infernal,Lucio
153914,Lijiang Tower,MN3,Seoul Infernal,Ashe
153943,Lijiang Tower,ZEST,Seoul Infernal,Sojourn
153970,Lijiang Tower,ZEST,Seoul Infernal,Symmetra
153974,Lijiang Tower,ZEST,Seoul Infernal,Tracer
154005,King's Row,ChoiSehwan,Guangzhou Charge,Genji
154026,King's Row,ChoiSehwan,Guangzhou Charge,Hanzo
154041,King's Row,ChoiSehwan,Guangzhou Charge,Tracer
154056,King's Row,ChoiSehwan,Guangzhou Charge,Widowmaker
154078,King's Row,Cr0ng,Guangzhou Charge,Doomfist
154097,King's Row,Cr0ng,Guangzhou Charge,Sigma
154129,King's Row,Develop,Guangzhou Charge,Hanzo
154151,King's Row,Develop,Guangzhou Charge,Sojourn
154179,King's Row,Farway1987,Guangzhou Charge,Zenyatta
154224,King's Row,Unique,Guangzhou Charge,Ana
154263,King's Row,AimGod,Seoul Infernal,Zenyatta
154294,King's Row,FIXA,Seoul Infernal,Ana
154327,King's Row,FIXA,Seoul Infernal,Baptiste
154357,King's Row,Fury,Seoul Infernal,Sigma
154393,King's Row,MN3,Seoul Infernal,Ashe
154422,King's Row,MN3,Seoul Infernal,Sojourn
154456,King's Row,ZEST,Seoul Infernal,Echo
154480,King's Row,ZEST,Seoul Infernal,Genji
154498,King's Row,ZEST,Seoul Infernal,Hanzo
154529,Dorado,ChoiSehwan,Guangzhou Charge,Genji
154545,Dorado,ChoiSehwan,Guangzhou Charge,Tracer
154579,Dorado,Cr0ng,Guangzhou Charge,Doomfist
154612,Dorado,Develop,Guangzhou Charge,Ashe
154637,Dorado,Develop,Guangzhou Charge,Sojourn
154661,Dorado,Develop,Guangzhou Charge,Widowmaker
154692,Dorado,Farway1987,Guangzhou Charge,Zenyatta
154724,Dorado,Unique,Guangzhou Charge,Ana
154764,Dorado,AimGod,Seoul Infernal,Zenyatta
154802,Dorado,Belosrea,Seoul Infernal,Wrecking Ball
154844,Dorado,FIXA,Seoul Infernal,Ana
154867,Dorado,FIXA,Seoul Infernal,Brigitte
154882,Dorado,FIXA,Seoul Infernal,Lucio
154896,Dorado,MN3,Seoul Infernal,Ashe
154930,Dorado,ZEST,Seoul Infernal,Symmetra
