map_name,map_type,map_count
Circuit royal,payload,17
Colosseo,push,24
Dorado,payload,15
Eichenwalde,hybrid,20
Ilios,control,21
King's Row,hybrid,20
Lijiang Tower,control,22
Midtown,hybrid,20
New Queen Street,push,26
Oasis,control,17
Route 66,payload,13
Watchpoint: Gibraltar,payload,15
