map_name,map_type,map_count
Circuit royal,payload,4
Colosseo,push,8
Dorado,payload,5
Eichenwalde,hybrid,6
Ilios,control,10
King's Row,hybrid,7
Lijiang Tower,control,9
Midtown,hybrid,7
New Queen Street,push,6
Oasis,control,4
Route 66,payload,3
Watchpoint: Gibraltar,payload,8
