team_name,control,hybrid,payload,push,total_map_played
Atlanta Reign,1,1,3,2,7
Dallas Fuel,3,2,4,1,10
Florida Mayhem,2,2,1,2,7
Hangzhou Spark,2,1,2,1,6
Houston Outlaws,2,1,2,1,6
Los Angeles Gladiators,2,2,4,1,9
San Francisco Shock,3,3,3,2,11
Seoul Dynasty,3,3,3,1,10
Seoul Infernal,2,2,1,1,6
Shanghai Dragons,3,3,2,1,9
Toronto Defiant,1,2,2,1,6
Washington Justice,2,2,2,2,8
