hero_name,total_times_played
Ana,411
Ashe,47
Baptiste,192
Bastion,1
Brigitte,139
Cassidy,11
D.Va,185
Doomfist,114
Echo,61
Genji,229
Hanzo,53
Junker Queen,20
Junkrat,5
Lucio,338
Mei,34
Mercy,16
Moira,45
Orisa,44
Pharah,11
Reaper,52
Reinhardt,24
Roadhog,7
Sigma,48
Sojourn,263
Soldier: 76,18
Sombra,326
Symmetra,214
Torbjorn,6
Tracer,442
Widowmaker,165
Winston,124
Wrecking Ball,29
Zarya,242
Zenyatta,267
