hero_name,total_times_played
Ana,212
Ashe,41
Baptiste,122
Bastion,1
Brigitte,96
Cassidy,10
D.Va,136
Doomfist,97
Echo,54
Genji,155
Hanzo,45
Junker Queen,19
Junkrat,5
Lucio,202
Mei,26
Mercy,16
Moira,41
Orisa,35
Pharah,11
Reaper,45
Reinhardt,22
Roadhog,7
Sigma,35
Sojourn,164
Soldier: 76,18
Sombra,194
Symmetra,109
Torbjorn,6
Tracer,229
Widowmaker,112
Winston,95
Wrecking Ball,26
Zarya,157
Zenyatta,170
