map_name,map_type,map_count
Busan,control,14
Circuit royal,payload,14
Colosseo,push,19
Dorado,payload,15
Eichenwalde,hybrid,20
Ilios,control,17
Junkertown,payload,17
King's Row,hybrid,20
Lijiang Tower,control,14
Nepal,control,18
New Queen Street,push,23
Oasis,control,16
Paraíso,hybrid,20
Route 66,payload,14
