map_name,map_type,map_count
Circuit royal,payload,21
Colosseo,push,32
Dorado,payload,20
Eichenwalde,hybrid,26
Ilios,control,31
King's Row,hybrid,27
Lijiang Tower,control,31
Midtown,hybrid,27
New Queen Street,push,32
Oasis,control,21
Route 66,payload,16
Watchpoint: Gibraltar,payload,23
