,map_name,map_type
0,Busan,control
348,Hollywood,hybrid
714,Watchpoint: Gibraltar,payload
1211,Colosseo,push
1599,Nepal,control
2047,Midtown,hybrid
2461,Dorado,payload
2861,New Queen Street,push
3194,Oasis,control
3971,Paraíso,hybrid
4363,Junkertown,payload
5153,Ilios,control
7820,Circuit royal,payload
13241,Lijiang Tower,control
